Abbreviation,TeamName,ClassifiedPosition,Race,Market_Segment,Perf_Weight,Confidence,Influence_ROI
VER,Red Bull Racing,1,Shanghai,Asian Avant-Garde,1.5,0.8365666666666667,125.48
NOR,McLaren,2,Shanghai,Asian Avant-Garde,1.5,0.8365666666666667,125.48
PER,Red Bull Racing,3,Shanghai,Asian Avant-Garde,1.5,0.8365666666666667,125.48
LEC,Ferrari,4,Shanghai,Asian Avant-Garde,1.0,0.8365666666666667,83.66
SAI,Ferrari,5,Shanghai,Asian Avant-Garde,1.0,0.8365666666666667,83.66
RUS,Mercedes,6,Shanghai,Asian Avant-Garde,1.0,0.8365666666666667,83.66
ALO,Aston Martin,7,Shanghai,Asian Avant-Garde,1.0,0.8365666666666667,83.66
PIA,McLaren,8,Shanghai,Asian Avant-Garde,1.0,0.8365666666666667,83.66
HAM,Mercedes,9,Shanghai,Asian Avant-Garde,1.0,0.8365666666666667,83.66
HUL,Haas F1 Team,10,Shanghai,Asian Avant-Garde,1.0,0.8365666666666667,83.66
VER,Red Bull Racing,1,Suzuka,Heritage Tech,1.5,0.827,124.05
PER,Red Bull Racing,2,Suzuka,Heritage Tech,1.5,0.827,124.05
SAI,Ferrari,3,Suzuka,Heritage Tech,1.5,0.827,124.05
LEC,Ferrari,4,Suzuka,Heritage Tech,1.0,0.827,82.7
NOR,McLaren,5,Suzuka,Heritage Tech,1.0,0.827,82.7
ALO,Aston Martin,6,Suzuka,Heritage Tech,1.0,0.827,82.7
RUS,Mercedes,7,Suzuka,Heritage Tech,1.0,0.827,82.7
PIA,McLaren,8,Suzuka,Heritage Tech,1.0,0.827,82.7
HAM,Mercedes,9,Suzuka,Heritage Tech,1.0,0.827,82.7
TSU,RB,10,Suzuka,Heritage Tech,1.0,0.827,82.7
VER,Red Bull Racing,1,Sakhir,Middle-Eastern Opulence,1.5,0.8028666666666666,120.43
PER,Red Bull Racing,2,Sakhir,Middle-Eastern Opulence,1.5,0.8028666666666666,120.43
SAI,Ferrari,3,Sakhir,Middle-Eastern Opulence,1.5,0.8028666666666666,120.43
LEC,Ferrari,4,Sakhir,Middle-Eastern Opulence,1.0,0.8028666666666666,80.29
RUS,Mercedes,5,Sakhir,Middle-Eastern Opulence,1.0,0.8028666666666666,80.29
NOR,McLaren,6,Sakhir,Middle-Eastern Opulence,1.0,0.8028666666666666,80.29
HAM,Mercedes,7,Sakhir,Middle-Eastern Opulence,1.0,0.8028666666666666,80.29
PIA,McLaren,8,Sakhir,Middle-Eastern Opulence,1.0,0.8028666666666666,80.29
ALO,Aston Martin,9,Sakhir,Middle-Eastern Opulence,1.0,0.8028666666666666,80.29
STR,Aston Martin,10,Sakhir,Middle-Eastern Opulence,1.0,0.8028666666666666,80.29
VER,Red Bull Racing,1,Jeddah,Modern Desert Luxury,1.5,0.8090999999999999,121.36
PER,Red Bull Racing,2,Jeddah,Modern Desert Luxury,1.5,0.8090999999999999,121.36
LEC,Ferrari,3,Jeddah,Modern Desert Luxury,1.5,0.8090999999999999,121.36
PIA,McLaren,4,Jeddah,Modern Desert Luxury,1.0,0.8090999999999999,80.91
ALO,Aston Martin,5,Jeddah,Modern Desert Luxury,1.0,0.8090999999999999,80.91
RUS,Mercedes,6,Jeddah,Modern Desert Luxury,1.0,0.8090999999999999,80.91
BEA,Ferrari,7,Jeddah,Modern Desert Luxury,1.0,0.8090999999999999,80.91
NOR,McLaren,8,Jeddah,Modern Desert Luxury,1.0,0.8090999999999999,80.91
HAM,Mercedes,9,Jeddah,Modern Desert Luxury,1.0,0.8090999999999999,80.91
HUL,Haas F1 Team,10,Jeddah,Modern Desert Luxury,1.0,0.8090999999999999,80.91
NOR,McLaren,1,Singapore,Modern Urban Luxury,1.5,0.7762333333333333,116.44
VER,Red Bull Racing,2,Singapore,Modern Urban Luxury,1.5,0.7762333333333333,116.44
PIA,McLaren,3,Singapore,Modern Urban Luxury,1.5,0.7762333333333333,116.44
RUS,Mercedes,4,Singapore,Modern Urban Luxury,1.0,0.7762333333333333,77.62
LEC,Ferrari,5,Singapore,Modern Urban Luxury,1.0,0.7762333333333333,77.62
HAM,Mercedes,6,Singapore,Modern Urban Luxury,1.0,0.7762333333333333,77.62
SAI,Ferrari,7,Singapore,Modern Urban Luxury,1.0,0.7762333333333333,77.62
ALO,Aston Martin,8,Singapore,Modern Urban Luxury,1.0,0.7762333333333333,77.62
HUL,Haas F1 Team,9,Singapore,Modern Urban Luxury,1.0,0.7762333333333333,77.62
PER,Red Bull Racing,10,Singapore,Modern Urban Luxury,1.0,0.7762333333333333,77.62
PIA,McLaren,1,Baku,Caspian Chic,1.5,0.7207666666666667,108.12
LEC,Ferrari,2,Baku,Caspian Chic,1.5,0.7207666666666667,108.12
RUS,Mercedes,3,Baku,Caspian Chic,1.5,0.7207666666666667,108.12
NOR,McLaren,4,Baku,Caspian Chic,1.0,0.7207666666666667,72.08
VER,Red Bull Racing,5,Baku,Caspian Chic,1.0,0.7207666666666667,72.08
ALO,Aston Martin,6,Baku,Caspian Chic,1.0,0.7207666666666667,72.08
ALB,Williams,7,Baku,Caspian Chic,1.0,0.7207666666666667,72.08
COL,Williams,8,Baku,Caspian Chic,1.0,0.7207666666666667,72.08
HAM,Mercedes,9,Baku,Caspian Chic,1.0,0.7207666666666667,72.08
BEA,Haas F1 Team,10,Baku,Caspian Chic,1.0,0.7207666666666667,72.08
VER,Red Bull Racing,1,Lusail,Futuristic Elite,1.5,0.9308666666666666,139.63
LEC,Ferrari,2,Lusail,Futuristic Elite,1.5,0.9308666666666666,139.63
PIA,McLaren,3,Lusail,Futuristic Elite,1.5,0.9308666666666666,139.63
RUS,Mercedes,4,Lusail,Futuristic Elite,1.0,0.9308666666666666,93.09
GAS,Alpine,5,Lusail,Futuristic Elite,1.0,0.9308666666666666,93.09
SAI,Ferrari,6,Lusail,Futuristic Elite,1.0,0.9308666666666666,93.09
ALO,Aston Martin,7,Lusail,Futuristic Elite,1.0,0.9308666666666666,93.09
ZHO,Kick Sauber,8,Lusail,Futuristic Elite,1.0,0.9308666666666666,93.09
MAG,Haas F1 Team,9,Lusail,Futuristic Elite,1.0,0.9308666666666666,93.09
NOR,McLaren,10,Lusail,Futuristic Elite,1.0,0.9308666666666666,93.09
NOR,McLaren,1,Yas Marina,Oasis Glamour,1.5,0.7307333333333333,109.61
VER,Red Bull Racing,2,Yas Marina,Oasis Glamour,1.5,0.7307333333333333,109.61
PIA,McLaren,3,Yas Marina,Oasis Glamour,1.5,0.7307333333333333,109.61
RUS,Mercedes,4,Yas Marina,Oasis Glamour,1.0,0.7307333333333333,73.07
LEC,Ferrari,5,Yas Marina,Oasis Glamour,1.0,0.7307333333333333,73.07
HAM,Mercedes,6,Yas Marina,Oasis Glamour,1.0,0.7307333333333333,73.07
SAI,Ferrari,7,Yas Marina,Oasis Glamour,1.0,0.7307333333333333,73.07
ALO,Aston Martin,8,Yas Marina,Oasis Glamour,1.0,0.7307333333333333,73.07
HUL,Haas F1 Team,9,Yas Marina,Oasis Glamour,1.0,0.7307333333333333,73.07
PER,Red Bull Racing,10,Yas Marina,Oasis Glamour,1.0,0.7307333333333333,73.07
LEC,Ferrari,1,Monaco,Ultra-Luxury,1.5,0.8179,122.68
PIA,McLaren,2,Monaco,Ultra-Luxury,1.5,0.8179,122.68
SAI,Ferrari,3,Monaco,Ultra-Luxury,1.5,0.8179,122.68
NOR,McLaren,4,Monaco,Ultra-Luxury,1.0,0.8179,81.79
RUS,Mercedes,5,Monaco,Ultra-Luxury,1.0,0.8179,81.79
VER,Red Bull Racing,6,Monaco,Ultra-Luxury,1.0,0.8179,81.79
HAM,Mercedes,7,Monaco,Ultra-Luxury,1.0,0.8179,81.79
TSU,RB,8,Monaco,Ultra-Luxury,1.0,0.8179,81.79
ALB,Williams,9,Monaco,Ultra-Luxury,1.0,0.8179,81.79
GAS,Alpine,10,Monaco,Ultra-Luxury,1.0,0.8179,81.79
VER,Red Bull Racing,1,Barcelona,Mediterranean Style,1.5,0.8076333333333333,121.14
NOR,McLaren,2,Barcelona,Mediterranean Style,1.5,0.8076333333333333,121.14
HAM,Mercedes,3,Barcelona,Mediterranean Style,1.5,0.8076333333333333,121.14
RUS,Mercedes,4,Barcelona,Mediterranean Style,1.0,0.8076333333333333,80.76
LEC,Ferrari,5,Barcelona,Mediterranean Style,1.0,0.8076333333333333,80.76
SAI,Ferrari,6,Barcelona,Mediterranean Style,1.0,0.8076333333333333,80.76
PIA,McLaren,7,Barcelona,Mediterranean Style,1.0,0.8076333333333333,80.76
PER,Red Bull Racing,8,Barcelona,Mediterranean Style,1.0,0.8076333333333333,80.76
GAS,Alpine,9,Barcelona,Mediterranean Style,1.0,0.8076333333333333,80.76
OCO,Alpine,10,Barcelona,Mediterranean Style,1.0,0.8076333333333333,80.76
RUS,Mercedes,1,Spielberg,Alpine Premium,1.5,0.7333333333333334,110.0
PIA,McLaren,2,Spielberg,Alpine Premium,1.5,0.7333333333333334,110.0
SAI,Ferrari,3,Spielberg,Alpine Premium,1.5,0.7333333333333334,110.0
HAM,Mercedes,4,Spielberg,Alpine Premium,1.0,0.7333333333333334,73.33
VER,Red Bull Racing,5,Spielberg,Alpine Premium,1.0,0.7333333333333334,73.33
HUL,Haas F1 Team,6,Spielberg,Alpine Premium,1.0,0.7333333333333334,73.33
PER,Red Bull Racing,7,Spielberg,Alpine Premium,1.0,0.7333333333333334,73.33
MAG,Haas F1 Team,8,Spielberg,Alpine Premium,1.0,0.7333333333333334,73.33
RIC,RB,9,Spielberg,Alpine Premium,1.0,0.7333333333333334,73.33
GAS,Alpine,10,Spielberg,Alpine Premium,1.0,0.7333333333333334,73.33
HAM,Mercedes,1,Silverstone,British Racing Green,1.5,0.7736333333333333,116.04
VER,Red Bull Racing,2,Silverstone,British Racing Green,1.5,0.7736333333333333,116.04
NOR,McLaren,3,Silverstone,British Racing Green,1.5,0.7736333333333333,116.04
PIA,McLaren,4,Silverstone,British Racing Green,1.0,0.7736333333333333,77.36
SAI,Ferrari,5,Silverstone,British Racing Green,1.0,0.7736333333333333,77.36
HUL,Haas F1 Team,6,Silverstone,British Racing Green,1.0,0.7736333333333333,77.36
STR,Aston Martin,7,Silverstone,British Racing Green,1.0,0.7736333333333333,77.36
ALO,Aston Martin,8,Silverstone,British Racing Green,1.0,0.7736333333333333,77.36
ALB,Williams,9,Silverstone,British Racing Green,1.0,0.7736333333333333,77.36
TSU,RB,10,Silverstone,British Racing Green,1.0,0.7736333333333333,77.36
VER,Red Bull Racing,1,Spa,Forest Heritage,1.5,0.8748333333333335,131.23
NOR,McLaren,2,Spa,Forest Heritage,1.5,0.8748333333333335,131.23
HAM,Mercedes,3,Spa,Forest Heritage,1.5,0.8748333333333335,131.23
RUS,Mercedes,4,Spa,Forest Heritage,1.0,0.8748333333333335,87.48
LEC,Ferrari,5,Spa,Forest Heritage,1.0,0.8748333333333335,87.48
SAI,Ferrari,6,Spa,Forest Heritage,1.0,0.8748333333333335,87.48
PIA,McLaren,7,Spa,Forest Heritage,1.0,0.8748333333333335,87.48
PER,Red Bull Racing,8,Spa,Forest Heritage,1.0,0.8748333333333335,87.48
GAS,Alpine,9,Spa,Forest Heritage,1.0,0.8748333333333335,87.48
