Abbreviation,TeamName,ClassifiedPosition,Race,Market_Segment
VER,Red Bull Racing,1,Shanghai,Asian Avant-Garde
NOR,McLaren,2,Shanghai,Asian Avant-Garde
PER,Red Bull Racing,3,Shanghai,Asian Avant-Garde
LEC,Ferrari,4,Shanghai,Asian Avant-Garde
SAI,Ferrari,5,Shanghai,Asian Avant-Garde
RUS,Mercedes,6,Shanghai,Asian Avant-Garde
ALO,Aston Martin,7,Shanghai,Asian Avant-Garde
PIA,McLaren,8,Shanghai,Asian Avant-Garde
HAM,Mercedes,9,Shanghai,Asian Avant-Garde
HUL,Haas F1 Team,10,Shanghai,Asian Avant-Garde
VER,Red Bull Racing,1,Suzuka,Heritage Tech
PER,Red Bull Racing,2,Suzuka,Heritage Tech
SAI,Ferrari,3,Suzuka,Heritage Tech
LEC,Ferrari,4,Suzuka,Heritage Tech
NOR,McLaren,5,Suzuka,Heritage Tech
ALO,Aston Martin,6,Suzuka,Heritage Tech
RUS,Mercedes,7,Suzuka,Heritage Tech
PIA,McLaren,8,Suzuka,Heritage Tech
HAM,Mercedes,9,Suzuka,Heritage Tech
TSU,RB,10,Suzuka,Heritage Tech
VER,Red Bull Racing,1,Sakhir,Middle-Eastern Opulence
PER,Red Bull Racing,2,Sakhir,Middle-Eastern Opulence
SAI,Ferrari,3,Sakhir,Middle-Eastern Opulence
LEC,Ferrari,4,Sakhir,Middle-Eastern Opulence
RUS,Mercedes,5,Sakhir,Middle-Eastern Opulence
NOR,McLaren,6,Sakhir,Middle-Eastern Opulence
HAM,Mercedes,7,Sakhir,Middle-Eastern Opulence
PIA,McLaren,8,Sakhir,Middle-Eastern Opulence
ALO,Aston Martin,9,Sakhir,Middle-Eastern Opulence
STR,Aston Martin,10,Sakhir,Middle-Eastern Opulence
VER,Red Bull Racing,1,Jeddah,Modern Desert Luxury
PER,Red Bull Racing,2,Jeddah,Modern Desert Luxury
LEC,Ferrari,3,Jeddah,Modern Desert Luxury
PIA,McLaren,4,Jeddah,Modern Desert Luxury
ALO,Aston Martin,5,Jeddah,Modern Desert Luxury
RUS,Mercedes,6,Jeddah,Modern Desert Luxury
BEA,Ferrari,7,Jeddah,Modern Desert Luxury
NOR,McLaren,8,Jeddah,Modern Desert Luxury
HAM,Mercedes,9,Jeddah,Modern Desert Luxury
HUL,Haas F1 Team,10,Jeddah,Modern Desert Luxury
NOR,McLaren,1,Singapore,Modern Urban Luxury
VER,Red Bull Racing,2,Singapore,Modern Urban Luxury
PIA,McLaren,3,Singapore,Modern Urban Luxury
RUS,Mercedes,4,Singapore,Modern Urban Luxury
LEC,Ferrari,5,Singapore,Modern Urban Luxury
HAM,Mercedes,6,Singapore,Modern Urban Luxury
SAI,Ferrari,7,Singapore,Modern Urban Luxury
ALO,Aston Martin,8,Singapore,Modern Urban Luxury
HUL,Haas F1 Team,9,Singapore,Modern Urban Luxury
PER,Red Bull Racing,10,Singapore,Modern Urban Luxury
PIA,McLaren,1,Baku,Caspian Chic
LEC,Ferrari,2,Baku,Caspian Chic
RUS,Mercedes,3,Baku,Caspian Chic
NOR,McLaren,4,Baku,Caspian Chic
VER,Red Bull Racing,5,Baku,Caspian Chic
ALO,Aston Martin,6,Baku,Caspian Chic
ALB,Williams,7,Baku,Caspian Chic
COL,Williams,8,Baku,Caspian Chic
HAM,Mercedes,9,Baku,Caspian Chic
BEA,Haas F1 Team,10,Baku,Caspian Chic
VER,Red Bull Racing,1,Lusail,Futuristic Elite
LEC,Ferrari,2,Lusail,Futuristic Elite
PIA,McLaren,3,Lusail,Futuristic Elite
RUS,Mercedes,4,Lusail,Futuristic Elite
GAS,Alpine,5,Lusail,Futuristic Elite
SAI,Ferrari,6,Lusail,Futuristic Elite
ALO,Aston Martin,7,Lusail,Futuristic Elite
ZHO,Kick Sauber,8,Lusail,Futuristic Elite
MAG,Haas F1 Team,9,Lusail,Futuristic Elite
NOR,McLaren,10,Lusail,Futuristic Elite
NOR,McLaren,1,Yas Marina,Oasis Glamour
VER,Red Bull Racing,2,Yas Marina,Oasis Glamour
PIA,McLaren,3,Yas Marina,Oasis Glamour
RUS,Mercedes,4,Yas Marina,Oasis Glamour
LEC,Ferrari,5,Yas Marina,Oasis Glamour
HAM,Mercedes,6,Yas Marina,Oasis Glamour
